"","last_name, first_name","position","league","year","age","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","in_zone_percent","swing_percent","linedrives_percent","sprint_speed","double","triple","home_run"
"61","Carroll, Corbin","LF","NL",2023,22,0.268,0.44,0.37,0.344,0.348,0.173,90,11,7.6,40.9,65.3,28,47.8,45.8,23.3,30.1,30,10,25
"62","Taveras, Leody","LF","AL",2023,24,0.27,0.407,0.316,0.319,0.32,0.136,90.1,10.2,7.2,43.1,70.9,28.2,49.7,49.4,26.4,29.1,31,3,14
"63","Riley, Austin","3B","NL",2023,26,0.273,0.516,0.363,0.365,0.342,0.243,92.3,13.5,13.9,49.2,69.9,27.3,48.9,48.2,23.8,28.1,32,3,37
"64","Suzuki, Seiya","RF","NL",2023,28,0.283,0.469,0.358,0.357,0.358,0.187,91.4,10.8,10.5,48,60.5,19.8,51.8,40.9,28.6,28.5,31,6,20
"65","Harper, Bryce","DH","NL",2023,30,0.29,0.53,0.384,0.399,0.403,0.24,91.8,9.1,15.2,46.8,77.9,33.4,40.5,51.4,27.2,27.6,29,1,21
"66","Rooker Jr., Brent","DH","NL",2023,28,0.237,0.478,0.348,0.343,0.322,0.241,91.6,17.6,15.6,49.5,66.1,27.3,48.3,46.1,24.7,27.1,20,1,30
"67","McNeil, Jeff","2B","NL",2023,31,0.251,0.34,0.314,0.294,0.316,0.09,86,14.4,1.3,27.4,75.9,29.9,50.3,53,25.7,27.4,25,4,10
"68","Walker, Christian","1B","NL",2023,32,0.251,0.46,0.351,0.339,0.329,0.21,88,15.8,11.4,40.4,71.3,26.1,49.6,48.6,19.4,26.4,36,2,33
"69","LeMahieu, DJ","2B","AL",2023,34,0.255,0.393,0.315,0.322,0.339,0.138,89.6,3.8,5.9,43,54.4,23.1,51.5,39.2,22.5,25.6,22,3,15
"70","Diaz, Elias","C","NL",2023,32,0.245,0.376,0.314,0.296,0.297,0.131,88.1,12.7,6.2,38.4,76.5,36.2,46.1,54.8,25.3,25,25,1,14
"71","Swanson, Dansby","SS","NL",2023,29,0.255,0.458,0.325,0.345,0.338,0.203,89.3,13,10.9,39.7,71.3,23.6,49.6,47.3,24.2,28.4,25,3,22
"72","Seager, Corey","SS","AL",2023,29,0.314,0.612,0.419,0.412,0.381,0.298,93.3,13,15.2,53.2,83.6,28.1,48.7,55.1,27.1,26.2,42,0,33
"73","Kim, Ha-Seong","SS","NL",2023,27,0.245,0.359,0.33,0.313,0.339,0.114,86.2,13.6,4.2,26.7,55.1,20.4,53.1,38.9,24.3,28.5,23,0,17
"74","Smith, Dominic","1B","NL",2023,28,0.256,0.397,0.306,0.32,0.329,0.141,86.3,12.8,6.6,30.8,68.7,30.3,48.7,49,26.3,25.8,21,1,12
"75","Stott, Bryson","2B","NL",2023,25,0.267,0.386,0.323,0.309,0.319,0.119,88.1,10.1,4.7,35.2,59.1,29.5,52.2,45,25.3,28.8,32,2,15
